Rok,Krajowa produkcja energii,z tego:,,,,,,Krajowe zużycie energii,,,,,,,,,,
,,Elektrownie zawodowe,,Elektrownie zawodowe,,Elektrownie wiatrowe i inne odnawialne,Elektrownie przemysłowe,,,,,,,,,,,
,,,,Elektrownie wodne,Elektrownie cieplne,,,,wszystko [Gwh],saldo,,,,Tabela 7.2 Przepływy rzeczywiste z poszczególnymi krajami w 2020 roku [Gwh],,,,
1990,136336,128199,,3300,124899,0,8137,135275,,1061,,,,Lp.,Wyszczególnienie,Pobór,Oddanie,Saldo
1991,134610,126783,,3388,123395,0,7827,131922,,2688,,,,1.,Białoruś,0,0,0
1992,132835,124557,,3564,120993,0,8278,128803,,4032,,,,2.,Czechy,"1674,1","3649,7","-1975,6"
1993,133747,125264,,3553,121711,0,8483,131336,,2411,,,,3.,Litwa,"2158,7","380,7",1778
1994,134890,126422,,3744,122678,0,8468,132211,,2679,,,,4.,Niemcy,"11235,2","12,1","11223,1"
1995,138701,130176,,3814,126362,0,8525,135900,,2801,,,,5.,Słowacja,"92,5","3154,6","-3062,1"
1996,142717,134352,,3839,130513,0,8365,139593,,3124,,,,6.,Szwecja,"3788,9","12,6","3776,3"
1997,142414,134380,,3739,130641,0,8034,140228,,2186,,,,7.,Ukraina,"1484,1",0,"1484,1"
1998,142244,134554,,4243,130311,0,7690,138770,,3474,,,,8.,Razem,"20433,7","7209,7",13224
1999,141286,133692,,4157,129535,0,7593,136351,,4935,,,,,,,,
2000,144417,136762,,3984,132778,0,7655,138043,,6374,,,,,,,,
2001,144574,136412,,4057,132355,0,8159,137843,,6731,,,,,,,,
2002,143233,135123,,3722,131401,0,8110,136165,,7068,,,,,,,,
2003,150751,142494,,3146,139348,0,8257,140590,,10161,,,,,,,,
2004,153362,144821,,3525,141296,0,8541,144069,,9293,,,,,,,,
2005,156024,147616,,3587,144029,0,8407,144838,,11186,,,,,,,,
2006,160848,152498,,2822,149676,69,8280,149847,,11001,,,,,,,,
2007,159528,150865,,3908,146957,446,8216,154170,,5358,,,,,,,,
2008,155567,146845,,2515,144330,678,8044,154980,,587,,,,,,,,
2009,150923,141872,,2751,139121,846,8203,148718,,2205,,,,,,,,
2010,156342,146107,,3268,142839,1312,8923,154987,,1355,,,,,,,,
2011,163153,151319,,2529,148790,2833,9000,157909,,5244,,,,,,,,
2012,159853,146833,,2264,144569,4025,8991,157013,,2840,,,,,,,,
2013,162501,147435,,2762,144673,5895,9171,157980,,4521,,,,,,,,
2014,156567,140290,,2520,137770,7256,9020,158734,,-2167,,,,,,,,
2015,161772,141901,,2261,139640,10114,9757,161438,,334,,,,,,,,
2016,162626,140727,,2399,138328,11769,10130,164625,,-1999,,,,,,,,
2017,165852,141790,,2767,139023,14005,10057,168139,,-2287,,,,,,,,
2018,165214,143234,,2197,141037,11958,10022,170932,,-5718,,,,,,,,
2019,158767,134245,,2454,131791,14344,10178,169391,,-10624,,,,,,,,
2020,152308,126137,,2698,123439,16372,9799,165532,,-13224,,,,,,,,
